t,avg_cAMP,avg_Ca,avg_Ca_ER,avg_ATP,PKA_frac,avg_pSer845,avg_I1P,avg_pSer831,CaMKII_p_frac,min_cAMP,max_cAMP,gradient_index,stimulus,neck_avg_cAMP,head_avg_cAMP,head_neck_ratio
0.640000,0.308872,0.120351,199.109583,1995.613247,0.559123,0.328299,0.061376,0.665447,0.667849,0.006837,1995.615376,6460.957772,0.000000,nan,nan,nan
0.660000,0.312177,0.120950,199.083748,1995.635459,0.561897,0.339229,0.063700,0.685511,0.685128,0.007170,1995.637604,6392.634581,0.000000,nan,nan,nan
0.680000,0.315328,0.121548,199.058037,1995.656965,0.564478,0.350023,0.066018,0.704542,0.701261,0.007505,1995.659126,6328.804226,0.000000,nan,nan,nan
0.700000,0.318334,0.122147,199.032451,1995.677798,0.566882,0.360680,0.068328,0.722565,0.716314,0.007842,1995.679973,6269.110222,0.000000,nan,nan,nan
0.720000,0.321200,0.122745,199.006989,1995.697985,0.569123,0.371197,0.070630,0.739608,0.730353,0.008063,1995.700175,6213.232330,0.000000,nan,nan,nan
0.740000,0.323933,0.123344,198.981653,1995.717558,0.571215,0.381572,0.072924,0.755702,0.743441,0.008014,1995.719760,6160.882178,0.000000,nan,nan,nan
0.760000,0.326537,0.123942,198.956441,1995.736542,0.573169,0.391805,0.075208,0.770883,0.755644,0.007967,1995.738756,6111.798283,0.000000,nan,nan,nan
0.780000,0.329020,0.124541,198.931355,1995.754966,0.574996,0.401894,0.077482,0.785188,0.767023,0.007919,1995.757191,6065.745052,0.000000,nan,nan,nan
0.800000,0.331385,0.125139,198.906395,1995.772854,0.576706,0.411839,0.079747,0.798655,0.777637,0.007872,1995.775090,6022.509186,0.000000,nan,nan,nan
0.820000,0.333637,0.125737,198.881561,1995.790233,0.578308,0.421640,0.082000,0.811322,0.787543,0.007825,1995.792478,5981.897254,0.000000,nan,nan,nan
0.840000,0.335782,0.126336,198.856852,1995.807127,0.579808,0.431296,0.084242,0.823229,0.796792,0.007778,1995.809381,5943.733565,0.000000,nan,nan,nan
0.860000,0.337825,0.126934,198.832270,1995.823558,0.581215,0.440808,0.086472,0.834414,0.805435,0.007732,1995.825821,5907.853022,0.000000,nan,nan,nan
0.880000,0.339768,0.127531,198.807814,1995.839550,0.582535,0.450176,0.088691,0.844915,0.813517,0.007686,1995.841822,5874.116298,0.000000,nan,nan,nan
0.900000,0.341615,0.128129,198.783484,1995.855126,0.583773,0.459402,0.090897,0.854768,0.821082,0.007640,1995.857405,5842.390317,0.000000,nan,nan,nan
0.920000,0.343371,0.128726,198.759281,1995.870306,0.584935,0.468484,0.093091,0.864009,0.828169,0.007594,1995.872592,5812.553467,0.000000,nan,nan,nan
