t,mean_cAMP,max_cAMP,min_cAMP,gradient_index,stimulus
0,0.1,0.1,0.1,0,0
0.05,0.097309682,0.09736024,0.097001127,0.0036904141,0
0.1,0.094677095,0.094775307,0.094125908,0.0068590852,0
0.15,0.092101625,0.09224468,0.091354531,0.0096648619,0
0.2,0.089582646,0.089767824,0.088674854,0.012200685,0
0.25,0.087119515,0.087344183,0.086078814,0.014524519,1
0.3,0.23368595,0.61250981,0.083560608,2.2635045,1
0.35,0.37917932,1.0808525,0.081115825,2.6365801,0
0.4,0.37432445,0.99210213,0.07874126,2.4400246,0
0.45,0.36943121,0.95137153,0.076436127,2.368331,0
0.5,0.36451155,0.93771515,0.074205236,2.3689508,0
0.55,0.35957345,0.9199738,0.07206243,2.3581034,0
0.6,0.35462284,0.89773611,0.070031177,2.3340429,0
0.65,0.34966434,0.87348126,0.068141235,2.3031803,0
0.7,0.34470176,0.8485245,0.066423149,2.2689219,0
0.75,0.33973831,0.82358402,0.064903021,2.2331335,0
0.8,0.33477683,0.79905462,0.063599084,2.1968532,0
0.85,0.32981983,0.77514909,0.062520363,2.1606607,0
0.9,0.32486962,0.75197513,0.06166701,2.1248775,0
0.95,0.31992833,0.72957883,0.061031641,2.089678,0
1,0.31499796,0.70796997,0.060601098,2.0551526,0
1.05,0.31008042,0.68713708,0.060358233,2.0213429,0
1.1,0.30517751,0.66705661,0.06028349,1.9882629,0
1.15,0.300291,0.64769855,0.060356189,1.9559106,0
1.2,0.29542257,0.62902982,0.060555502,1.9242752,0
1.25,0.29057387,0.61101643,0.060861151,1.8933405,0
1.3,0.28574649,0.59362475,0.061253881,1.863088,0
1.35,0.28094199,0.57682229,0.061715745,1.8334979,0
1.4,0.27616189,0.56057809,0.062230268,1.8045496,0
1.45,0.27140766,0.54486297,0.062782499,1.7762228,0
1.5,0.26668075,0.52964958,0.063359013,1.7484973,0
1.55,0.26198256,0.51491242,0.063947857,1.7213534,0
1.6,0.25731444,0.50062778,0.064538478,1.6947719,0
1.65,0.25267774,0.48677362,0.065121627,1.6687342,0
1.7,0.24807374,0.47332954,0.065689262,1.6432222,0
1.75,0.24350368,0.46027662,0.066234447,1.6182185,0
1.8,0.23896879,0.44759732,0.066751253,1.5937063,0
1.85,0.23447023,0.43527538,0.067234664,1.5696693,0
1.9,0.23000914,0.42329575,0.067680484,1.5460919,0
1.95,0.22558662,0.41164443,0.068085261,1.522959,0
2,0.22120371,0.40030842,0.068446201,1.5002561,0
