t,mean_cAMP,max_cAMP,min_cAMP,gradient_index,stimulus
0,0.1,0.1,0.1,0,0
0.05,0.097306278,0.097357006,0.096971114,0.0039657477,0
0.1,0.094670409,0.094768937,0.094030429,0.0078008256,0
0.15,0.092091788,0.092235273,0.091175706,0.011505547,0
0.2,0.089569793,0.089755477,0.088404268,0.01508555,0
0.25,0.087103788,0.087328997,0.085713501,0.018546792,1
0.3,0.23378216,0.64389912,0.08310092,2.3988066,1
0.35,0.37937313,1.1835972,0.080564171,2.9075149,1
0.4,0.52447078,1.7094329,0.078101023,3.1104342,1
0.45,0.66926766,2.2229008,0.075709357,3.2082701,1
0.5,0.81385445,2.7252407,0.073387153,3.258388,1
0.55,0.95828208,3.2175826,0.07113248,3.2834279,1
0.6,1.1025824,3.7009457,0.068943486,3.294087,1
0.65,1.2467766,4.1762334,0.066818391,3.2960316,1
0.7,1.3908797,4.6442373,0.064755479,3.2925075,1
0.75,1.5349028,5.105647,0.062753093,3.285481,1
0.8,1.678854,5.5610619,0.06080963,3.2761944,1
0.85,1.8227398,6.0110031,0.05892354,3.2654576,1
0.9,1.9665651,6.4559247,0.057093319,3.253811,1
0.95,2.110334,6.8962226,0.055317508,3.241622,1
1,2.2540495,7.3322436,0.053594694,3.2291433,1
1.05,2.3977144,7.7667966,0.051923506,3.2175947,1
1.1,2.5413307,8.1994715,0.050302616,3.2066543,1
1.15,2.6849002,8.6289897,0.048730737,3.195746,1
1.2,2.8284244,9.0555298,0.047206624,3.1849263,1
1.25,2.9719045,9.4792497,0.045729075,3.1742341,1
1.3,3.1153415,9.9002891,0.044296927,3.1636955,1
1.35,3.2587364,10.318772,0.042909064,3.1533275,1
1.4,3.4020898,10.73481,0.041564408,3.1431403,1
1.45,3.5454023,11.148501,0.040261928,3.1331393,1
1.5,3.6886745,11.559936,0.039000633,3.1233267,1
1.55,3.8319068,11.969195,0.037779578,3.1137019,1
1.6,3.9750996,12.376454,0.036597861,3.1042885,1
1.65,4.1182532,12.787133,0.035454622,3.0963802,1
1.7,4.2613679,13.195941,0.034349048,3.0885837,1
1.75,4.4044439,13.602919,0.033280367,3.0808972,1
1.8,4.5474814,14.008107,0.032247853,3.0733186,1
1.85,4.6904806,14.411539,0.031250822,3.0658453,1
1.9,4.8334415,14.813247,0.030288634,3.0584747,1
1.95,4.9763645,15.213263,0.029360691,3.0512037,1
2,5.1192494,15.611614,0.028466437,3.0440297,1
