t,mean_cAMP,max_cAMP,min_cAMP,gradient_index,stimulus
0,0.1,0.1,0.1,0,0
0.05,0.087286348,0.08733168,0.087009975,0.0036856277,0
0.1,0.075902555,0.075980735,0.075465369,0.006789836,0
0.15,0.065770075,0.065870421,0.065249967,0.0094336853,0
0.2,0.056802838,0.056916414,0.056253251,0.011674825,0
0.25,0.048909814,0.04902933,0.048367306,0.013535618,1
0.3,0.18604445,0.55431092,0.041486568,2.7564614,1
0.35,0.31768004,0.99162115,0.035508767,3.0096709,1
0.4,0.44668651,1.3950538,0.030336366,3.0552017,1
0.45,0.57393849,1.7796727,0.025878585,3.0557179,1
0.5,0.69982538,2.1512674,0.022053875,3.0424926,1
0.55,0.82455487,2.514135,0.018791751,3.0262913,1
0.6,0.94825159,2.8694027,0.01603306,3.009085,1
0.65,1.0709974,3.2178499,0.013728827,2.9917169,1
0.7,1.1928505,3.5601027,0.011838453,2.9746094,1
0.75,1.3138547,3.8961778,0.010327968,2.9575948,1
0.8,1.4340455,4.2258403,0.0091686696,2.940403,1
0.85,1.5534525,4.5502856,0.0083362223,2.9237774,1
0.9,1.6721017,4.8675083,0.0078101021,2.9063412,1
0.95,1.7900164,5.1806154,0.0075732814,2.8899412,1
1,1.9072177,5.4872035,0.0076120306,2.8730812,1
1.05,2.0237256,5.7878211,0.0079157642,2.8560717,1
1.1,2.1395585,6.084131,0.0084768901,2.8396766,1
1.15,2.2547339,6.3745763,0.0092906424,2.8230763,1
1.2,2.3692684,6.6594254,0.010354897,2.8063813,1
1.25,2.483178,6.9403675,0.011669974,2.7902541,1
1.3,2.5964775,7.2161883,0.013238438,2.7741237,1
1.35,2.7091817,7.4870605,0.015064896,2.7580268,1
1.4,2.8213042,7.753415,0.017155811,2.7420862,1
1.45,2.9328584,8.0159531,0.019519325,2.7264984,1
1.5,3.0438572,8.2740975,0.022165099,2.7110117,1
1.55,3.1543128,8.528024,0.025104167,2.6956489,1
1.6,3.2642373,8.7778977,0.028348811,2.6804267,1
1.65,3.3736421,9.0243269,0.031912448,2.6654915,1
1.7,3.4825385,9.2670711,0.035809524,2.6507278,1
1.75,3.5909374,9.5061828,0.040055429,2.636116,1
1.8,3.6988493,9.7417928,0.044666415,2.6216603,1
1.85,3.8062845,9.9740245,0.049659518,2.6073629,1
1.9,3.9132532,10.203146,0.055052485,2.5932627,1
1.95,4.0197653,10.429183,0.060863712,2.5793344,1
2,4.1258305,10.652165,0.067112168,2.565557,1
