t,mean_cAMP,max_cAMP,min_cAMP,gradient_index,stimulus
0,0.1,0.1,0.1,0,0
0.05,0.097309682,0.09736024,0.097001127,0.0036904141,0
0.1,0.094677095,0.094775307,0.094125908,0.0068590852,0
0.15,0.092101625,0.09224468,0.091354531,0.0096648619,0
0.2,0.089582646,0.089767824,0.088674854,0.012200685,0
0.25,0.087119515,0.087344183,0.086078814,0.014524519,1
0.3,0.23368595,0.61250981,0.083560608,2.2635045,1
0.35,0.37917932,1.0808525,0.081115825,2.6365801,1
0.4,0.52412101,1.5193453,0.07874126,2.7486096,1
0.45,0.66868197,1.9410474,0.076436152,2.7884875,1
0.5,0.81294246,2.3516209,0.074205659,2.801447,1
0.55,0.95694756,2.7538611,0.072065822,2.8024475,1
0.6,1.1007255,3.1500204,0.070047835,2.7981295,1
0.65,1.2442954,3.5388832,0.068199932,2.7892761,1
0.7,1.3876708,3.9230137,0.066586519,2.7790649,1
0.75,1.5308619,4.299983,0.065285239,2.7662181,0
0.8,1.5239004,4.2408728,0.064383024,2.740658,0
0.85,1.5168183,4.1925738,0.063972001,2.7218828,0
0.9,1.5096219,4.1190836,0.064145601,2.686062,0
0.95,1.5023165,4.0348296,0.064994179,2.642476,0
1,1.4949069,3.9465982,0.066599156,2.5954787,0
1.05,1.4873975,3.8578568,0.06902615,2.5472886,0
1.1,1.4797923,3.770434,0.072319082,2.499077,0
1.15,1.4720951,3.6852893,0.076497022,2.4514667,0
1.2,1.4643097,3.6029008,0.081554272,2.4047826,0
1.25,1.4564396,3.5234727,0.087463056,2.3591844,0
1.3,1.4484884,3.4470511,0.09417772,2.3147394,0
1.35,1.4404597,3.3735907,0.10163944,2.2714632,0
1.4,1.432357,3.3029953,0.1097807,2.2293428,0
1.45,1.4241837,3.2351413,0.11852917,2.1883498,0
1.5,1.4159434,3.169892,0.12781074,2.1484483,0
1.55,1.4076396,3.107107,0.1375519,2.109599,0
1.6,1.3992756,3.046647,0.14768138,2.0717618,0
1.65,1.3908547,2.9883774,0.15813121,2.0348972,0
1.7,1.3823802,2.9321697,0.16883751,1.9989669,0
1.75,1.3738551,2.8779026,0.17974073,1.9639348,0
1.8,1.3652827,2.8254621,0.19078592,1.9297661,0
1.85,1.3566657,2.7747419,0.20192262,1.8964283,0
1.9,1.348007,2.7256427,0.2131048,1.8638908,0
1.95,1.3393093,2.6780723,0.22429067,1.8321247,0
2,1.3305752,2.6319449,0.23544241,1.8011026,0
