t,mean_cAMP,max_cAMP,min_cAMP,gradient_index,stimulus
0,0.1,0.1,0.1,0,0
0.05,0.097309952,0.097360498,0.097018475,0.0035147824,0
0.1,0.094677618,0.094775815,0.094175151,0.0063443074,0
0.15,0.09210238,0.092245431,0.091438056,0.0087660546,0
0.2,0.089583611,0.089768808,0.088791534,0.010909076,0
0.25,0.087120667,0.087345391,0.086226353,0.012844684,1
0.3,0.23367254,0.59342323,0.083736356,2.1812014,1
0.35,0.37912345,1.0340073,0.081317604,2.5128745,1
0.4,0.52397647,1.448844,0.078975337,2.6143706,1
0.45,0.66839579,1.8496642,0.07675177,2.652489,1
0.5,0.81245886,2.2395518,0.074761784,2.6644918,1
0.55,0.95620957,2.6198021,0.073203751,2.663222,1
0.6,1.0996757,2.9902215,0.072339649,2.6534021,1
0.65,1.2428763,3.3503745,0.072461984,2.6373603,1
0.7,1.3858249,3.7006882,0.073863794,2.6170871,1
0.75,1.5285319,4.0422431,0.076818462,2.5942701,1
0.8,1.6710056,4.3741146,0.081569257,2.5688396,1
0.85,1.8132528,4.6980816,0.088325945,2.5422576,1
0.9,1.9552797,5.0132594,0.097265619,2.5142152,1
0.95,2.0970921,5.3212739,0.10853559,2.4856983,1
1,2.2386958,5.621612,0.12225695,2.4564994,1
1.05,2.3800968,5.9151047,0.13852799,2.4270343,1
1.1,2.5213013,6.202098,0.15742718,2.3974409,1
1.15,2.6623154,6.4827485,0.17901562,2.3677634,1
1.2,2.803146,6.7576166,0.20333893,2.3381863,1
1.25,2.9437996,7.0269137,0.23042876,2.3087458,1
1.3,3.0842831,7.2908901,0.26030408,2.2794879,1
1.35,3.2246032,7.5498335,0.29297223,2.2504664,1
1.4,3.3647665,7.8040076,0.32842993,2.2217226,1
1.45,3.5047794,8.0536553,0.36666423,2.1932882,1
1.5,3.644648,8.2990003,0.40765345,2.1651877,1
1.55,3.7843781,8.5402498,0.45136813,2.1374401,1
1.6,3.9239753,8.7775957,0.4977719,2.1100601,1
1.65,4.0634445,9.0112168,0.54682245,2.0830589,1
1.7,4.2027906,9.2412796,0.59847234,2.0564449,1
1.75,4.3420178,9.4679397,0.65266982,2.0302242,1
1.8,4.4811302,9.6913429,0.70935961,2.0044013,1
1.85,4.6201313,9.911626,0.7684836,1.9789789,1
1.9,4.7590244,10.128918,0.82998146,1.9539585,1
1.95,4.8978125,10.34334,0.89379121,1.9293406,1
2,5.0364983,10.555006,0.95984977,1.9051245,1
