t,mean_cAMP,max_cAMP,min_cAMP,gradient_index,stimulus
0,0.1,0.1,0.1,0,0
0.05,0.09730932,0.097359895,0.096990973,0.0037912389,0
0.1,0.094676387,0.094774628,0.09409461,0.0071825462,0
0.15,0.09210059,0.092243677,0.091298366,0.010263894,0
0.2,0.089581305,0.089766507,0.088593125,0.013098522,0
0.25,0.087117889,0.087342564,0.085972193,0.01573008,1
0.3,0.23369867,0.62398969,0.083430418,2.313061,1
0.35,0.37921827,1.1146571,0.080963668,2.7258535,1
0.4,0.52421172,1.5751739,0.07856854,2.8549636,1
0.45,0.66885495,2.0156374,0.076242266,2.899575,1
0.5,0.81323064,2.445054,0.073982911,2.9156195,1
0.55,0.95738503,2.8635187,0.071789887,2.9159938,1
0.6,1.1013469,3.2741761,0.069664765,2.9096293,1
0.65,1.2451356,3.6812107,0.067612171,2.9021726,1
0.7,1.3887648,4.0812719,0.065640572,2.8915128,1
0.75,1.5322446,4.4777029,0.063762793,2.880702,1
0.8,1.6755826,4.870599,0.061996179,2.8698095,1
0.85,1.8187848,5.257628,0.060362431,2.8575483,1
0.9,1.961856,5.6422999,0.058887176,2.8459849,1
0.95,2.1048001,6.0229717,0.057599357,2.8341752,1
1,2.2476203,6.3982821,0.056530534,2.8215405,1
1.05,2.3903191,6.7707319,0.055714171,2.8092557,1
1.1,2.532899,7.1397115,0.055184968,2.7970032,1
1.15,2.6753617,7.5037106,0.054978274,2.7841964,1
1.2,2.8177089,7.863286,0.055129588,2.7711011,1
1.25,2.9599421,8.220864,0.055674179,2.758564,1
1.3,3.1020626,8.5738162,0.056646794,2.7456472,1
1.35,3.2440715,8.9222851,0.058081463,2.7324317,1
1.4,3.3859699,9.2668933,0.060011374,2.719127,1
1.45,3.5277587,9.6090946,0.062468812,2.7061447,1
1.5,3.6694391,9.9471441,0.065485147,2.6929617,1
1.55,3.8110119,10.281169,0.069090848,2.6796237,1
1.6,3.952478,10.61129,0.07331552,2.6661691,1
1.65,4.0938385,10.93878,0.078187954,2.6529116,1
1.7,4.2350944,11.263021,0.083736173,2.6396778,1
1.75,4.3762468,11.583651,0.089987476,2.6263747,1
1.8,4.5172967,11.900776,0.096968473,2.6130245,1
1.85,4.6582452,12.214495,0.1047051,2.5996463,1
1.9,4.7990937,12.525449,0.11322265,2.5863689,1
1.95,4.9398434,12.833674,0.12254572,2.5731845,1
2,5.0804956,13.138745,0.13269824,2.5599957,1
