t,mean_cAMP,max_cAMP,min_cAMP,gradient_index,stimulus
0,0.1,0.1,0.1,0,0
0.05,0.097309682,0.09736024,0.097001127,0.0036904141,0
0.1,0.094677095,0.094775307,0.094125908,0.0068590852,0
0.15,0.092101625,0.09224468,0.091354531,0.0096648619,0
0.2,0.089582646,0.089767824,0.088674854,0.012200685,0
0.25,0.087119515,0.087344183,0.086078814,0.014524519,1
0.3,0.23368595,0.61250981,0.083560608,2.2635045,1
0.35,0.37917932,1.0808525,0.081115825,2.6365801,1
0.4,0.52412101,1.5193453,0.07874126,2.7486096,1
0.45,0.66868197,1.9410474,0.076436152,2.7884875,1
0.5,0.81294246,2.3516209,0.074205659,2.801447,0
0.55,0.80701567,2.2497081,0.072065821,2.6983891,0
0.6,0.80099351,2.2242919,0.07004781,2.6894651,0
0.65,0.79488662,2.1923911,0.068199509,2.6723202,0
0.7,0.78870325,2.1486066,0.066583117,2.6398059,0
0.75,0.78245008,2.0994533,0.065268472,2.5997631,1
0.8,0.92605892,2.4603732,0.064323716,2.5873618,1
0.85,1.0694708,2.8738804,0.063806354,2.6275369,1
0.9,1.212703,3.2772947,0.063757375,2.6498964,1
0.95,1.3557661,3.6716897,0.06420025,2.6608494,1
1,1.4986674,4.0578118,0.065145321,2.6641444,0
1.05,1.4914373,3.9947434,0.0665979,2.6337985,0
1.1,1.4841061,3.953191,0.068566827,2.6174841,0
1.15,1.4766775,3.8873695,0.071070504,2.5843822,0
1.2,1.469155,3.8111297,0.074138366,2.5436332,0
1.25,1.4615419,3.7309231,0.07780707,2.4994945,1
1.3,1.6038143,4.0314756,0.082112923,2.4624813,1
1.35,1.7459483,4.4019754,0.087083772,2.4713742,1
1.4,1.8879486,4.77838,0.092733338,2.4818719,1
1.45,2.0298187,5.1498014,0.099060107,2.4882721,1
1.5,2.1715614,5.5153219,0.10605156,2.490959,0
1.55,2.1631925,5.467614,0.11369227,2.4750093,0
1.6,2.1547288,5.4034628,0.12197254,2.451116,0
1.65,2.1461731,5.3159242,0.13089461,2.415942,0
1.7,2.137528,5.2187952,0.14047423,2.3757915,0
1.75,2.1287965,5.1184778,0.15073664,2.3335913,1
1.8,2.2699666,5.3901035,0.16170861,2.3032915,1
1.85,2.4110259,5.7334232,0.17340975,2.3060778,1
1.9,2.5519776,6.0892307,0.18584618,2.3132587,1
1.95,2.6928244,6.4441828,0.19900894,2.3191909,1
2,2.8335687,6.7951464,0.21287793,2.3229606,0
