t,mean_cAMP,max_cAMP,min_cAMP,gradient_index,stimulus
0,0.1,0.1,0.1,0,0
0.05,0.098622168,0.098673403,0.098309441,0.0036904646,0
0.1,0.097259657,0.097360573,0.096693058,0.0068632268,0
0.15,0.095912368,0.096061447,0.095133166,0.0096784312,0
0.2,0.094580203,0.094775961,0.093619253,0.012229924,0
0.25,0.093263066,0.09350405,0.09214461,0.014576404,1
0.3,0.24146038,0.62142327,0.09070463,2.1979533,1
0.35,0.38912178,1.0937975,0.089295987,2.581458,1
0.4,0.53650391,1.5367995,0.087916505,2.700601,1
0.45,0.68369172,1.963254,0.086566486,2.7449324,1
0.5,0.8307254,2.3788015,0.085252492,2.7608991,1
0.55,0.97762771,2.7860693,0.083992904,2.7639114,1
0.6,1.124413,3.1874288,0.082823025,2.7610902,1
0.65,1.2710911,3.5814473,0.081797739,2.7532641,1
0.7,1.417669,3.9708958,0.080991133,2.7438736,1
0.75,1.5641519,4.3530831,0.080493665,2.7315693,1
0.8,1.7105438,4.7304668,0.080407932,2.7184682,1
0.85,1.8568477,5.1012435,0.080844052,2.7037217,1
0.9,2.0030661,5.4662061,0.081915362,2.6880246,1
0.95,2.1492008,5.8258353,0.08373483,2.6717375,1
1,2.2952535,6.1787274,0.086412304,2.6543103,1
1.05,2.4412254,6.5271714,0.090052569,2.6368392,1
1.1,2.5871176,6.8697085,0.094754109,2.6187269,1
1.15,2.732931,7.2062887,0.10060841,2.6000218,1
1.2,2.8786664,7.5385973,0.10769968,2.5813681,1
1.25,3.0243246,7.8655968,0.11610485,2.5623876,1
1.3,3.1699065,8.1873267,0.12589372,2.5431138,1
1.35,3.3154127,8.5044724,0.13712928,2.5237712,1
1.4,3.4608441,8.8173495,0.14986803,2.5044415,1
1.45,3.6062016,9.1255522,0.1641603,2.4849947,1
1.5,3.751486,9.4292701,0.18005058,2.4654815,1
1.55,3.8966984,9.728943,0.19757787,2.4460105,1
1.6,4.0418397,10.024796,0.21677591,2.4266228,1
1.65,4.1869108,10.316646,0.23767351,2.4072575,1
1.7,4.331913,10.604643,0.26029474,2.3879399,1
1.75,4.476847,10.888927,0.28465924,2.3686911,1
1.8,4.6217141,11.169826,0.31078238,2.3495706,1
1.85,4.7665152,11.44732,0.33867554,2.3305589,1
1.9,4.9112512,11.721472,0.36834634,2.3116565,1
1.95,5.055923,11.992395,0.39979882,2.2928743,1
2,5.2005316,12.260196,0.43303374,2.2742217,1
